Bairro,mais de 5 salários,Faixa etária,Densidade
Alta Tensão 2ª Seção,0.18,23.92,0
Xodo-Marize,1.75,23.97,0
Nossa Senhora da Aparecida,1.12,24,31457
Vila Paraíso,0.8,24,15923
Zilah Sposito,0.09,24.01,0
Vila Antena,0.31,24.02,24242
Vila Inestan,0.85,24.03,33381
Nova Pampulha,09.06,24.06,8974
Vila Santa Monica 1ª Seção,0.34,24.09,0
Vila Ecológica,0.15,24.09,7160
Novo Ouro Preto,0,24.15,13568
Vila São Rafael,0.68,24.22,39667
São João,0.52,24.23,28100
Nossa Senhora de Fátima,0.57,24.29,15803
Vila Pinho,0.23,24.3,22975
Satelite,3.27,24.3,0
Vila Copacabana,0.45,24.33,29956
Boa Esperança,0.86,24.35,32118
Vila Madre Gertrudes 3ª Seção,0.83,24.44,0
Caetano Furquim,0.66,24.5,14800
Vila Piratininga,0.42,24.52,16598
Buraco Quente,01.07,24.52,0
Novo Aarão Reis,0.37,24.58,15845
Confisco,1.38,24.6,15518
Vila Aeroporto,0.45,24.63,27169
Ouro Preto,19.83,24.64,7302
Apolonia,0.24,24.66,0
Conjunto Taquaril,0.33,24.7,13628
Vila Bandeirantes,0.43,24.79,29579
Conjunto Paulo VI,0.08,24.81,14944
Pousada Santo Antonio,04.02,24.82,0
Juliana,1.71,24.84,6349
Vila Maria,0.34,24.93,40212
Castanheira,0.62,24.93,14232
Vista do Sol,0.95,25.01,16519
Universo,0.17,25.03,21792
Vila Maloca,0.55,25.05,31571
Vila Formosa,0.08,25.06,32818
Acaiaca,2.76,25.07,6715
Barro Preto,25.21,25.13,5652
Ápia,1.46,25.15,25313
Vila Canto do Sabiá,0.68,25.17,10176
Vila Jardim Leblon,0,25.26,22500
Conjunto São Francisco de Assis,1.49,25.28,21429
Conjunto Capitão Eduardo,0.43,25.31,16456
Conjunto Califórnia II,5.9,25.32,16083
Vila Barragem Santa Lúcia,3.29,25.39,29408
Santana do Cafezal,0.66,25.39,24274
Marmiteiros,1.6,25.44,26167
São Vicente,0.46,25.46,33667
Conjunto Novo Dom Bosco,1.36,25.47,32000
Conjunto Bonsucesso,0.24,25.48,21915
Vila Paquetá,0,25.5,58583
Vila Real 2ª Seção,0,25.5,0
Fazendinha,0.35,25.51,16810
Leonina,0.4,25.54,21976
Vila São João Batista,0.33,25.56,28250
Vila Suzana Segunda Seção,0,25.58,0
Vila Nova Paraíso,0.17,25.65,23467
Jardim Felicidade,0.52,25.69,19095
Barão Homem de Melo 1ª Seção,0.75,25.7,0
Alpes,1.97,25.76,10219
Mineirão,1.16,25.77,10749
Conjunto Jardim Filadélfia,01.02,25.85,28590
Vila Piratininga Venda Nova,0,25.9,40667
Santa Rita,0.46,25.91,22683
Vila Nova Gameleira 2ª Seção,2.98,26.05,0
Vila União,01.09,26.28,54286
Conjunto Jatoba,0.32,26.37,0
Belmonte,2.32,26.53,4639
Vila Ipiranga,0.62,26.54,37400
Conjunto Minas Caixa,0.49,26.61,0
Vila da Luz,0.09,26.8,21300
Distrito Industrial do Jatoba,0,26.81,0
Vila Havaí,0.35,26.95,38556
Serra do Curral,01.01,27.03,20
Camponesa 1ª seção,2.65,27.43,0
Pantanal,0.27,27.46,24838
Boa Viagem,38.9,27.5,19421
Vila Novo São Lucas,0.35,27.55,23723
Vila Antena Montanhês,0.83,27.62,16593
Vila Ouro Minas,0.44,27.75,21778
Vila Nova Gameleira 1ª Seção,0.87,27.85,0
Aeroporto,21.28,28.17,561
Liberdade,22.5,28.21,9993
Monte São José,0.43,28.37,31743
Grotinha,0.28,28.41,19435
Vila Satélite,0.99,28.71,16000
São Francisco das Chagas,0.09,28.78,46414
Bacurau,1.11,28.89,26000
Conjunto Floramar,0.39,29.01,38167
Unidas,0.33,29.04,33364
Vila de Sá,0,29.31,44136
Centro,21.66,29.38,8322
Coração Eucarístico,28.04,29.67,7453
Varzea da Palma,0,29.81,0
Solar do Barreiro,0.82,29.87,5999
Maravilha,4,30,14000
Indaiá,20.95,30.25,7625
Vila Puc,6.25,35,22250
Xangri-lá,0,#N/A,15
Baleia,0,#N/A,5
